Job,Education,Sex,Age,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999
Job,Education,Sex,Age,Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons)
Clerks,High shcool,Female,Total,201.9,499468,1720916,403908,198.2,556213,1939338,396522,197.6,639236,2317803,416490,191.1,720021,2592291,394216,189.6,775738,2978882,382431,193.2,801206,3005993,338550,199,849430,2555730,421833
Clerks,Jonior college,Total,Total,204.4,702810,2372032,127201,202.3,778913,2526833,141034,200.2,856786,2911220,154243,193.5,946145,3162421,165614,193.1,1002518,3510356,185715,195,986303,3378910,188489,201.1,983399,2833412,213565
Clerks,Jonior college,Male,Total,205.5,775462,2727672,93227,203.6,863244,2901150,102256,201.8,959744,3386553,103675,195.2,1068569,3738369,105845,194.9,1149962,4295238,113173,196.5,1136356,4034128,107753,203.5,1168781,3590953,100432
Clerks,Jonior college,Female,Total,201.4,503446,1396132,33974,198.7,556537,1539775,38778,196.8,645701,1936688,50568,190.3,729344,2142475,59769,190.3,772490,2285859,72542,192.9,786037,2504435,80736,199,818829,2160917,113133
Clerks,College and university and over,Total,Total,200.8,885203,3722617,294690,197.3,955831,3996730,291156,195.1,1065859,4803105,337216,187.7,1185095,5231857,371851,187.6,1231133,5767302,326091,191.4,1247016,5630321,325928,197.3,1336851,4897685,312426
Clerks,College and university and over,Male,Total,201.2,908647,3878133,268732,197.4,978027,4152032,265425,195.5,1097177,5053109,300655,188.4,1220303,5513856,325062,188.3,1274176,6036683,279799,192,1296366,6004306,274925,197.7,1413206,5406040,238635
Clerks,College and university and over,Female,Total,196.3,642495,2112623,25958,195.6,726866,2394730,25731,192.3,808318,2747226,36561,182.6,940496,3272698,46789,183.5,970977,4139104,46292,188.1,981002,3614404,51003,195.9,1089924,3253700,73791
Service workers and shop and market sales workers,Total,Total,Total,213.3,583842,1537007,199146,210.2,643226,1679076,204336,209.4,734090,2234813,220962,202.3,838097,2286847,237622,201.4,877199,2630175,208647,203.6,868199,2807654,180671,205.8,869040,1898292,296359
Service workers and shop and market sales workers,Total,Male,Total,210.4,728089,2046034,77458,208.2,785810,2261158,76428,210.7,880864,2925758,85200,203.6,1018002,2938807,90733,204,1064469,3505722,73242,207.6,1057767,3810612,62464,208.8,1037492,2379113,113099
Service workers and shop and market sales workers,Total,Female,Total,215.2,492024,1212997,121688,211.4,558029,1331268,127908,208.6,641979,1801198,135762,201.4,726971,1884133,146889,200,775902,2156582,135405,201.4,768026,2277662,118207,203.9,765080,1601554,183260
Service workers and shop and market sales workers,Under middle shcool,Total,Total,219.5,559112,1537943,54245,222.2,609964,1730512,52119,222.4,708911,2285884,58106,211.7,794135,2386156,49679,209.6,863123,2861399,46359,211.7,839129,2838306,37194,206.5,817892,1961172,52970
Service workers and shop and market sales workers,Under middle shcool,Male,Total,211.5,743454,2280923,11719,215.7,769862,2644533,11566,217.2,902066,3559293,13154,216.4,1004047,3327838,11828,211.5,1165472,4586008,10014,215.7,1105222,4561561,7710,214.6,1046095,2804527,10571
Service workers and shop and market sales workers,Under middle shcool,Female,Total,221.7,508312,1333199,42526,224.1,564360,1469827,40553,224,652389,1913255,44952,210.2,728539,2091892,37851,209.1,779818,2386224,36345,210.6,769546,2387679,29484,204.4,760996,1750905,42399
Service workers and shop and market sales workers,High shcool,Total,Total,213.4,557719,1414410,119901,207.5,630907,1582954,126931,206.2,706340,2112666,133162,199.5,824636,2148855,158564,199.5,857440,2347047,133670,202.5,847810,2579862,112913,202.9,865637,1722183,191555
Service workers and shop and market sales workers,High shcool,Male,Total,213.1,686804,1836913,49097,208.6,780012,2151824,50713,211.4,857155,2762749,54499,201.7,1008643,2766043,62767,202.5,1048178,3112628,48798,208.6,1040565,3442712,39946,207.1,1047483,2094073,74101
Service workers and shop and market sales workers,High shcool,Female,Total,213.6,468208,1121438,70804,206.8,531698,1204446,76218,202.6,601853,1662278,78663,198,704074,1744468,95797,197.7,747774,1906868,84872,199.2,742286,2107492,72967,200.3,750912,1487560,117454
Service workers and shop and market sales workers,Jonior college,Total,Total,206.3,644472,1608204,13315,201.7,737501,1944734,17235,202.9,848267,2344886,20523,203.9,914597,2779546,19460,201.2,914306,3192955,18864,200.9,927431,3280014,21579,211.4,875960,2428146,34423
Service workers and shop and market sales workers,Jonior college,Male,Total,211.1,692843,1812382,7418,203.4,797011,2195602,9843,207.7,900718,2564745,11989,203.4,1006475,3350962,10617,207,1009045,3607246,10411,204.3,1046297,4121535,10134,208.2,958356,2973416,17384
Service workers and shop and market sales workers,Jonior college,Female,Total,200.2,583625,1351364,5897,199.4,658259,1610684,7392,196.2,774581,2036016,8534,204.4,804287,2093498,8843,194.1,797623,2682702,8453,197.8,822181,2534888,11445,214.7,791896,1871836,17039
Service workers and shop and market sales workers,College and university and over,Total,Total,192.2,897608,2709516,11685,191.7,850956,2292843,8051,188.4,1041044,3438479,9171,196.8,1123385,3028771,9919,189.2,1143110,4322824,9754,189.3,1102500,4408937,8985,223.9,1048410,2596970,17411
